continent,dw_region,region,income,iso3,country,city,year,pm10.mean,pm10.coverage,pm10.converted,pm25.mean,pm25.coverage,pm25.converted,stations,reference,db.version,status
Europe,Eastern Europe,Europe,LMIC,BLR,Belarus,Pinsk,2015,67,NA,Measured,45,NA,Converted,1 N.A.,National Statistical Committee of the Republic of Belarus,2018,
Europe,Eastern Europe,Europe,LMIC,BLR,Belarus,Svetlogorsk,2015,45,NA,Measured,30,NA,Converted,1 N.A.,National Statistical Committee of the Republic of Belarus,2018,
Europe,Eastern Europe,Europe,LMIC,BLR,Belarus,Vitebsk,2015,42,NA,Measured,28,NA,Converted,1 N.A.,National Statistical Committee of the Republic of Belarus,2018,
Americas,Americas,Americas,LMIC,BOL,"Bolivia, Plurinational States of",Cochabamba,2014,60,NA,Measured,32,NA,Converted,"3 stations, Urban","Contaminacion Atmosferica, Gestion 2014, RED MoniCA",2016,
Americas,Americas,Americas,LMIC,BOL,"Bolivia, Plurinational States of",La Paz,2013,82,NA,Measured,44,NA,Converted,"1 station, Urban",Air Quality Standards for<U+00A0>Particulate Matter<U+00A0>(PM) at high altitude cities.,2016,
Americas,Americas,Americas,LMIC,BRA,Brazil,Americana,2016,36,NA,Measured,17,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Aracatuba,2016,28,NA,Measured,13,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Araraquara,2016,28,NA,Measured,13,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Araucaria,2015,18,NA,Measured,8,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Barra Mansa,2015,32,NA,Measured,15,NA,Converted,3 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Bauru,2016,31,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Belo Horizonte,2012,30,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Betim,2013,44,NA,Measured,20,NA,Converted,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Brasilia,2013,118,NA,Measured,54,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Camacari,2015,17,NA,Measured,8,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Campinas,2016,28,NA,Measured,13,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Campos Dos Goitacazes,2010,22,NA,Measured,10,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Candeias,2014,18,NA,Measured,8,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Canoas,2016,26,NA,Measured,12,NA,Converted,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Cantagalo,2015,23,NA,Measured,11,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Carapicuiba,2016,30,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Cariacica,2015,36,NA,Measured,17,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Catanduva,2016,35,NA,Measured,16,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Charqueadas,2016,30,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Colombo,2013,36,NA,Measured,16,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Cordeiripolis,2016,39,NA,Measured,18,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Cordeiropolis,2014,38,NA,Measured,17,NA,Converted,"1 station, NA","Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente",2016,
Americas,Americas,Americas,LMIC,BRA,Brazil,Cubatao,2016,49,NA,Measured,23,NA,Converted,3 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Curitiba,2015,14,NA,Measured,6,NA,Converted,3 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Diadema,2016,27,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Dias D'Avila,2015,17,NA,Measured,8,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Dias D'ivila,2015,30,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Duque De Caxias,2015,58,NA,Measured,16,NA,Measured,6 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Esteio,2016,21,NA,Measured,10,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Gravatai,2014,16,NA,Measured,7,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Guapimirim,2012,16,NA,Measured,7,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Guarulhos,2016,27,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Ibirite,2013,30,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Itaborai,2015,32,NA,Measured,8,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Itaguai,2015,31,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Jaboticabal,2014,38,NA,Measured,17,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Jacarei,2016,24,NA,Measured,11,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Jai,2016,26,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Japeri,2015,26,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Jau,2014,25,NA,Measured,11,NA,Converted,"1 station, NA","Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente",2016,
Americas,Americas,Americas,LMIC,BRA,Brazil,Jundiai,2016,25,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Limeira,2016,31,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Macae,2015,21,NA,Measured,10,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Macuco,2015,25,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Madre De Deus,2014,12,NA,Measured,6,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Malemba,2014,18,NA,Measured,8,NA,Converted,"1 station, NA","Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente",2016,
Americas,Americas,Americas,LMIC,BRA,Brazil,Marilia,2016,19,NA,Measured,9,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Maua,2016,30,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Nilopolis,2012,56,NA,Measured,26,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Niteroi,2015,50,NA,Measured,9,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Nova Iguacu,2015,42,NA,Measured,19,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Osasco,2016,40,NA,Measured,18,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Paulinia,2016,35,NA,Measured,16,NA,Converted,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Piracicaba,2016,37,NA,Measured,13,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Pirassununga,2012,31,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Porto Real,2014,17,NA,Measured,8,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Presidente Prudente,2016,21,NA,Measured,10,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Quatis,2014,27,NA,Measured,12,NA,Converted,"1 station, NA","Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente",2016,
Americas,Americas,Americas,LMIC,BRA,Brazil,Resende,2015,27,NA,Measured,9,NA,Measured,5 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Ribeirao Preto,2013,30,NA,Measured,14,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Rio Claro,2016,46,NA,Measured,21,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Rio De Janeiro,2015,42,NA,Measured,11,NA,Measured,17 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Salvador,2015,22,NA,Measured,10,NA,Converted,8 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Santa Gertrudes,2016,80,NA,Measured,37,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Santo Andre,2016,27,NA,Measured,12,NA,Converted,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Santos,2016,25,NA,Measured,15,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sao Bernardo Do Campo,2014,36,NA,Measured,17,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sao Caetano Do Sul,2014,37,NA,Measured,15,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sao Goncalo,2015,47,NA,Measured,22,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sao Joao De Meriti,2015,65,NA,Measured,12,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sao Jose Do Rio Preto,2016,29,NA,Measured,15,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sao Jose Dos Campos,2014,30,NA,Measured,14,NA,Converted,"1 station, NA","Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente",2016,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sao Paulo,2016,28,NA,Measured,17,NA,Measured,14 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Seropedica,2014,31,NA,Measured,15,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Serra,2015,36,NA,Measured,17,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Sorocaba,2016,25,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Taboao Da Serra,2016,28,NA,Measured,13,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Tatui,2016,19,NA,Measured,9,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Vila Velha,2015,26,NA,Measured,12,NA,Converted,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Vitoria,2015,29,NA,Measured,13,NA,Converted,3 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas,Americas,Americas,LMIC,BRA,Brazil,Volta Redonda,2015,29,NA,Measured,13,NA,Converted,8 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Asia,Asia,South-East Asia,LMIC,BTN,Bhutan,Bajo,2014,92,NA,Measured,50,NA,Converted,1 Rural,Bhutan-State-of-Environment-Report-2016.pdf,2018,
Asia,Asia,South-East Asia,LMIC,BTN,Bhutan,Kanglung,2013,57,NA,Measured,31,NA,Converted,1 Rural,Bhutan-State-of-Environment-Report-2016.pdf,2018,
Asia,Asia,South-East Asia,LMIC,BTN,Bhutan,Pasakha,2015,275,NA,Measured,150,NA,Converted,1 Industrial,Bhutan-State-of-Environment-Report-2016.pdf,2018,
Asia,Asia,South-East Asia,LMIC,BTN,Bhutan,Rinchending,2014,88,NA,Measured,48,NA,Converted,1 Street,Bhutan-State-of-Environment-Report-2016.pdf,2018,
Asia,Asia,South-East Asia,LMIC,BTN,Bhutan,Thimphu,2015,42,NA,Measured,23,NA,Converted,1 Urban,Bhutan-State-of-Environment-Report-2016.pdf,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Abbotsford,2015,13,>75%,Measured,7,>75%,Measured,"1 Agricultural, 1 Residential",British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Brandon,2015,17,>75%,Measured,7,>75%,Measured,1 Industrial,Manitoba Department of Sustainable Development,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Burnaby,2015,9,>75%,Measured,7,>75%,Measured,2 Residential,"Metro Vancouver Parks, Planning & Environment Department",2018,
Americas,Americas,Americas,HIC,CAN,Canada,Burns Lake,2015,16,>75%,Measured,7,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Castlegar,2015,16,>75%,Measured,9,NA,Converted,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Chilliwack,2015,12,>75%,Measured,7,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Flin Flon,2015,14,>75%,Measured,8,NA,Converted,1 Residential,Manitoba Department of Sustainable Development,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Fort Smith,2015,10,>75%,Measured,7,>75%,Measured,1 Residential,Government of Northwest Territories Environment and Natural Resources,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Fort St. John,2013,18,NA,Measured,10,NA,Converted,"1 station, NA",National Air Pollution Surveillance Network.,2016,
Americas,Americas,Americas,HIC,CAN,Canada,Golden,2015,18,>75%,Measured,10,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Hope,2015,11,>75%,Measured,6,>75%,Measured,1 Forested,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Houston,2015,15,>75%,Measured,10,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Inuvik,2015,19,>75%,Measured,5,>75%,Measured,1 Residential,Government of Northwest Territories Environment and Natural Resources,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Kitimat,2015,8,>75%,Measured,6,>75%,Measured,"1 Industrial, 2 Residential",British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Langdale,2015,10,>75%,Measured,6,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Langley,2015,11,>75%,Measured,7,>75%,Measured,1 Residential,"Metro Vancouver Parks, Planning & Environment Department",2018,
Americas,Americas,Americas,HIC,CAN,Canada,Nelson,2013,13,NA,Measured,7,NA,Converted,"1 station, NA",National Air Pollution Surveillance Network.,2016,
Americas,Americas,Americas,HIC,CAN,Canada,Norman Wells,2015,9,50% -< 75%,Measured,5,NA,Converted,1 Residential,Government of Northwest Territories Environment and Natural Resources,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Port Moody,2015,11,>75%,Measured,6,>75%,Measured,1 Waterbody,"Metro Vancouver Parks, Planning & Environment Department",2018,
Americas,Americas,Americas,HIC,CAN,Canada,Powell River,2015,7,>75%,Measured,3,>75%,Measured,2 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Prince George,2015,17,>75%,Measured,9,NA,Converted,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Quesnel,2015,12,>75%,Measured,10,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Richmond,2015,13,>75%,Measured,6,>75%,Measured,"1 Commercial, 1 Residential","Metro Vancouver Parks, Planning & Environment Department",2018,
Americas,Americas,Americas,HIC,CAN,Canada,Sudbury,2015,7,>75%,Measured,6,>75%,Measured,1 Residential,Ontario Ministry of Environment and Climate Change,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Thomson,2013,12,NA,Measured,4,NA,Measured,"1 station, NA",National Air Pollution Surveillance Network.,2016,
Americas,Americas,Americas,HIC,CAN,Canada,Williams Lake,2015,15,>75%,Measured,7,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Winnipeg,2015,22,>75%,Measured,6,>75%,Measured,2 Residential,Manitoba Department of Sustainable Development,2018,
Americas,Americas,Americas,HIC,CAN,Canada,Yellowknife,2015,16,>75%,Measured,8,>75%,Measured,1 Residential,Government of Northwest Territories Environment and Natural Resources,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Aadorf,2016,11,>75%,Measured,8,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Aigle,2015,20,NA,Measured,14,NA,Converted,1 Industry,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Altdorf,2016,12,NA,Measured,8,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Anieres,2012,16,NA,Measured,12,NA,Converted,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Arbon,2013,19,NA,Measured,14,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Avully,2016,14,>75%,Measured,10,NA,Converted,"1 Background, 1 Rural-Background","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Baden,2016,16,NA,Measured,11,NA,Converted,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Basel,2016,17,>75%,Measured,10,NA,Measured,"1 Background, 1 Traffic, 1 Urban-Background, 1 Urban-Traffic","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Bern,2016,19,>75%,Measured,12,NA,Measured,"1 Traffic, 1 Urban-Traffic","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Bevaix,2016,13,NA,Measured,10,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Biberist,2016,15,NA,Measured,11,NA,Converted,1 Industry,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Biel,2016,14,NA,Measured,10,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Binningen,2016,14,>75%,Measured,10,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Bioggio,2016,24,NA,Measured,18,NA,Converted,1 Industry,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Bodio,2016,19,NA,Measured,14,NA,Converted,1 Industry,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Brigerbad,2016,15,NA,Measured,11,NA,Converted,1 Industry,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Brione,2016,13,NA,Measured,10,NA,Converted,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Bulle,2016,13,NA,Measured,10,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Bussigny,2015,18,NA,Measured,14,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Cadenazzo,2016,16,>75%,Measured,12,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Camignolo,2016,17,NA,Measured,12,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Castaneda,2013,12,NA,Measured,9,NA,Converted,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Chaumont,2016,6,NA,Measured,5,NA,Converted,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Chiasso,2016,22,NA,Measured,16,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Chur,2016,13,NA,Measured,9,NA,Converted,"1 Background, 1 Traffic",BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Comano,2015,20,NA,Measured,15,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Cornaux,2013,17,NA,Measured,12,NA,Converted,1 Traffic,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Davos,2016,12,NA,Measured,7,NA,Measured,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Delemont,2016,16,NA,Measured,12,NA,Converted,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Dornach,2016,12,NA,Measured,9,NA,Converted,1 Background,BAFU,2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Dubendorf,2016,14,>75%,Measured,10,NA,Measured,"1 Background, 1 Suburban-Background","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe,Western and Southern Europe,Europe,HIC,CHE,Switzerland,Ebikon,2016,15,>75%,Measured,11,NA,Converted,"1 Background, 1 Suburban-Background","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
